ID,Lat,LongW,Vg (mph),Vsust (mph),Lon
28869,17.950001,66.169998,113.69,89.05,-66.169998
28870,17.950001,66.160004,114.13,89.4,-66.160004
28871,17.950001,66.150002,114.53,89.72,-66.150002
28872,17.950001,66.139999,114.94,90.04,-66.139999
28873,17.950001,66.129997,115.82,90.74,-66.129997
28874,17.950001,66.120003,116.62,91.37,-66.120003
28875,17.950001,66.110001,117.36,91.95,-66.110001
28881,17.950001,66.050003,119.8,93.88,-66.050003
29206,17.959999,67.209999,74.03,59.98,-67.209999
29207,17.959999,67.199997,73.48,58.78,-67.199997
29208,17.959999,67.190002,73.3,58.19,-67.190002
29211,17.959999,67.160004,73.78,58.13,-67.160004
29212,17.959999,67.150002,74.05,58.28,-67.150002
29213,17.959999,67.139999,74.34,58.47,-67.139999
29214,17.959999,67.129997,74.61,58.65,-67.129997
29215,17.959999,67.120003,74.9,58.86,-67.120003
29216,17.959999,67.110001,75.16,59.02,-67.110001
29217,17.959999,67.099998,75.4,59.16,-67.099998
29218,17.959999,67.089996,75.54,59.17,-67.089996
29229,17.959999,66.980003,81.07,65.37,-66.980003
29230,17.959999,66.970001,80.54,62.91,-66.970001
29231,17.959999,66.959999,81.01,63.28,-66.959999
29232,17.959999,66.949997,81.46,63.64,-66.949997
29233,17.959999,66.940002,81.88,63.96,-66.940002
29237,17.959999,66.900002,83.59,65.31,-66.900002
29238,17.959999,66.889999,84.02,65.65,-66.889999
29239,17.959999,66.879997,84.41,65.96,-66.879997
29240,17.959999,66.870003,84.76,66.23,-66.870003
29241,17.959999,66.860001,85.1,66.5,-66.860001
29242,17.959999,66.849998,85.45,66.77,-66.849998
29243,17.959999,66.839996,85.79,67.04,-66.839996
29244,17.959999,66.830002,86.1,67.29,-66.830002
29245,17.959999,66.82,86.38,67.51,-66.82
29269,17.959999,66.580002,94.04,76.78,-66.580002
29284,17.959999,66.43,105.04,85.08,-66.43
29285,17.959999,66.419998,103.74,82.91,-66.419998
29286,17.959999,66.410004,102.42,80.16,-66.410004
29287,17.959999,66.400002,102.72,80.39,-66.400002
29288,17.959999,66.389999,103.24,80.8,-66.389999
29289,17.959999,66.379997,103.71,81.17,-66.379997
29290,17.959999,66.370003,104.05,81.44,-66.370003
29297,17.959999,66.300003,106.72,84.29,-66.300003
29298,17.959999,66.290001,107.25,83.97,-66.290001
29299,17.959999,66.279999,107.8,84.4,-66.279999
29300,17.959999,66.269997,108.16,84.68,-66.269997
29301,17.959999,66.260002,108.46,84.93,-66.260002
29302,17.959999,66.25,108.57,85.01,-66.25
29303,17.959999,66.239998,108.88,85.25,-66.239998
29304,17.959999,66.230003,109.5,85.75,-66.230003
29308,17.959999,66.190002,112.94,88.46,-66.190002
29309,17.959999,66.18,113.64,89.02,-66.18
29310,17.959999,66.169998,114.23,89.48,-66.169998
29311,17.959999,66.160004,114.72,89.87,-66.160004
29312,17.959999,66.150002,115.11,90.17,-66.150002
29313,17.959999,66.139999,115.34,90.36,-66.139999
29314,17.959999,66.129997,116.22,91.05,-66.129997
29315,17.959999,66.120003,117.04,91.7,-66.120003
29316,17.959999,66.110001,117.76,92.27,-66.110001
29317,17.959999,66.099998,118.4,92.77,-66.099998
29321,17.959999,66.059998,120.08,94.1,-66.059998
29322,17.959999,66.050003,120.27,94.25,-66.050003
29323,17.959999,66.040001,120.29,94.27,-66.040001
29647,17.969999,67.209999,74.39,60.32,-67.209999
29648,17.969999,67.199997,73.61,58.74,-67.199997
29649,17.969999,67.190002,73.63,58.46,-67.190002
29650,17.969999,67.18,73.76,58.4,-67.18
29651,17.969999,67.169998,73.98,58.46,-67.169998
29652,17.969999,67.160004,74.24,58.6,-67.160004
29653,17.969999,67.150002,74.52,58.76,-67.150002
29654,17.969999,67.139999,74.8,58.93,-67.139999
29655,17.969999,67.129997,75.09,59.12,-67.129997
29656,17.969999,67.120003,75.33,59.25,-67.120003
