fips_code,county,pop_estimates_2019,pop_estimates_2010,pop_percent_change,pop_census_2010,pop_under_5yrs_percent,pop_under_18yrs_percent,pop_65yrs_over_percent,female_percent,white_alone_percent,black_alone_percent,american_indian_alaska_native_alone_percent,asian_alone_percent,pacific_islander_alone_percent,two_or_more_races_percent,hispanic_percent,white_alone_not_hispanic_percent,veterans,foreign_born_persons_percent,housing_units,owner_occupied_housing_rate,median_value_of_owner_occupied_house,median_monthly_owner_costs_mortgage,median_monthly_owner_cost_no_mortgage,median_gross_rent,building_permits,households,persons_per_household,living_house_year_ago_percent_aged_1yr_over,language_non_english_percent_aged_5yrs,households_computer_percent,households_broadband_percent,high_school_graduate_percent_25yrs_over,bachelors_degree_percent_25yrs_over,disabled_under_65yrs_percent,no_health_insurance_under_65yrs_percent,labor_total_percent_age_16yrs,labor_force_female_percent_age_16yrs,accommodation_food_services_sales,health_care_and_social_revenue,manufacturers_shipments,merchant_wholesaler_sales,retail_sales,retail_sales_per_capita,mean_travel_time_to_work_mins,median_household_income,per_capita_income_past_year,poverty_percent,employer_establishments,employment,annual_payroll,employment_percent_change,nonemployer_establishments,all_firms,male_owned_firms,female_owned_firms,minority_owned_firms,nonminority_owned_firms,veteran_owned_firms,nonveteran_owned_firms,pop_per_square_mile,land_area_square_miles
72079,Lajas Municipio,22010,25753,-0.145,25753,0.035,0.167,0.251,0.515,0.247,0.008,0.001,0,0,0.007,0.988,0.005,278,0.007,,0.6,86900,681,137,452,,7665,2.97,0.982,0.943,0.272,0.222,0.627,0.153,0.17,0.06,0.328,0.281,9167,7986,32106,2466,38810,1534,27.3,13992,7432,0.632,165,1935,34532,-0.026,,,,,,,,,429.6,59.95
72081,Lares Municipio,24276,30753,-0.211,30753,0.038,0.177,0.215,0.509,0.708,0.007,0,0,0,0.002,0.995,0.002,333,0.007,,0.634,86000,668,133,420,,9967,2.55,0.966,0.976,0.567,0.507,0.646,0.185,0.135,0.067,0.383,0.311,4908,41378,31966,,93674,3156,35.4,16532,9091,0.559,178,2174,39058,0.074,,,,,,,,,500.5,61.45
72083,Las Marías Municipio,7927,9881,-0.198,9881,0.04,0.193,0.218,0.506,0.476,0.009,0,0,0,0.006,0.996,0.004,171,0.003,,0.716,84800,654,109,284,,2708,3.06,0.924,0.991,0.44,0.387,0.544,0.166,0.041,0.025,0.335,0.284,560,5136,,,10261,1072,27.5,14135,7585,0.506,47,362,4488,-0.313,,,,,,,,,213.1,46.36
72085,Las Piedras Municipio,37007,38675,-0.043,38675,0.036,0.186,0.19,0.52,0.204,0.775,0.001,0,0,0.008,0.997,0.001,401,0.006,,0.782,114200,863,138,560,,12376,3.03,0.953,0.975,0.699,0.648,0.778,0.224,0.061,0.071,0.405,0.373,19512,11905,1216135,8066,70784,1808,27.2,21667,11475,0.419,266,4010,141629,-0.099,,,,,,,,,1141.5,33.88
72087,Loíza Municipio,24553,30060,-0.183,30060,0.035,0.193,0.193,0.536,0.243,0.387,0.002,0.003,0,0.004,0.997,0.001,474,0.015,,0.705,100800,736,139,427,,8508,3.02,0.92,0.951,0.74,0.727,0.75,0.147,0.124,0.109,0.49,0.453,3544,13296,,,13790,470,33.5,17852,9335,0.482,82,750,15453,-0.068,,,,,,,,,1552.2,19.37
72089,Luquillo Municipio,17665,20068,-0.12,20068,0.034,0.178,0.224,0.532,0.603,0.094,0.001,0.002,0,0.021,0.987,0.009,570,0.022,,0.712,111200,791,155,461,,6582,2.75,0.929,0.945,0.764,0.711,0.77,0.204,0.174,0.096,0.485,0.432,10783,4357,41351,,55988,2805,32.4,21850,11123,0.426,147,1408,36805,-0.132,,,,,,,,,777.5,25.81
72091,Manatí Municipio,37287,44113,-0.155,44113,0.039,0.183,0.226,0.531,0.832,0.043,0.002,0.003,0,0.009,0.978,0.014,720,0.003,,0.734,106100,796,130,532,,14825,2.60,0.925,0.964,0.698,0.456,0.726,0.224,0.132,0.097,0.406,0.357,38153,199517,1362872,73094,329946,7628,26,18502,11084,0.47,616,11242,338312,0.011,,,,,,,,,977.5,45.13
72093,Maricao Municipio,5430,6276,-0.135,6276,0.037,0.177,0.221,0.505,0.444,0.015,0.003,0,0,0.009,0.991,0.009,93,0.04,,0.742,79700,562,100,275,,1846,3.28,0.885,0.969,0.375,0.287,0.518,0.08,0.045,0.04,0.259,0.181,,997,,,,,18.7,12441,6118,0.645,22,666,17518,-0.061,,,,,,,,,171.4,36.62
72095,Maunabo Municipio,10321,12245,-0.157,12245,0.032,0.176,0.235,0.507,0.125,0.864,0.001,0,0,0,0.988,0.012,229,0.009,,0.744,87900,709,128,398,,3833,2.81,0.964,0.98,0.667,0.553,0.665,0.169,0.103,0.073,0.318,0.294,1179,2046,,,5536,461,31.1,20844,9319,0.454,49,200,3060,-0.091,,,,,,,,,580.3,21.07
72097,Mayagüez Municipio,71530,89080,-0.197,89080,0.034,0.166,0.248,0.523,0.272,0.035,0.002,0.001,0,0.023,0.992,0.005,1627,0.023,,0.57,96700,786,141,418,,29682,2.50,0.889,0.929,0.717,0.645,0.719,0.264,0.17,0.067,0.39,0.344,128047,392289,656122,2160382,1814857,21095,22.7,14236,10994,0.539,1499,20540,446788,-0.035,,,,,,,,,1147.3,77.65
72099,Moca Municipio,34891,40109,-0.13,40109,0.039,0.188,0.184,0.513,0.824,0.032,0,0.001,0,0.009,0.993,0.003,579,0.008,,0.637,93800,816,128,422,,13374,2.69,0.938,0.963,0.715,0.666,0.694,0.2,0.135,0.056,0.426,0.373,10402,47655,32216,6726,98543,2479,26.9,15037,10342,0.542,341,3421,64361,-0.068,,,,,,,,,796.7,50.34
72101,Morovis Municipio,30335,32610,-0.07,32610,0.039,0.192,0.169,0.504,0.88,0.02,0.001,0,0,0.041,0.996,0.003,277,0.007,,0.692,105700,724,147,503,,9645,3.20,0.943,0.968,0.765,0.696,0.705,0.165,0.187,0.067,0.443,0.353,7306,17605,7944,,79688,2428,34.2,20941,9728,0.449,152,1165,20637,-0.135,,,,,,,,,838.9,38.87
72103,Naguabo Municipio,25761,26720,-0.036,26720,0.038,0.207,0.187,0.535,0.694,0.037,0,0.004,0,0.018,0.992,0.006,277,0.005,,0.775,92500,661,132,452,,8058,3.23,0.947,0.979,0.782,0.715,0.736,0.202,0.058,0.08,0.397,0.311,5539,5253,,,60994,2247,30.7,19432,9283,0.474,128,1181,24788,-0.087,,,,,,,,,517.2,51.66
72105,Naranjito Municipio,27349,30402,-0.1,30402,0.042,0.187,0.204,0.51,0.85,0.075,0,0,0,0.063,1,0,451,0.002,,0.75,88100,692,147,477,,8424,3.33,0.952,0.94,0.598,0.451,0.708,0.161,0.214,0.062,0.407,0.359,8843,48850,11124,6201,76443,2522,36.4,18883,9120,0.464,291,1965,41399,-0.048,,,,,,,,,1109.5,27.4
72107,Orocovis Municipio,20220,23423,-0.137,23423,0.045,0.196,0.179,0.5,0.808,0.035,0.002,0,0,0.058,0.996,0.003,180,0.012,,0.663,84800,694,140,388,,6759,3.08,0.93,0.955,0.604,0.575,0.677,0.17,0.227,0.037,0.404,0.342,6648,5099,,5312,29788,1290,33.2,15099,8299,0.562,166,1404,23754,-0.07,,,,,,,,,368.2,63.62
