censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001001400,12001001400,0.65659715455077,0.426835196888673,0.867992590426051,0.637010329370493,0.765828949931814,3.3542642211678,0.764448765298287
1400000US12001001514,12001001514,0.907035665562269,0.610306271268838,0.832504630983718,0.0231923601637108,0.304013247613481,2.67705217559202,0.591300151274508
1400000US12001001515,12001001515,0.952640810758137,0.738259601361206,0.960124792824413,0.025141297992594,0.32729398012858,3.00346048306493,0.674755763758084
1400000US12001001516,12001001516,0.960826349639446,0.547107438016529,0.933313834454519,0.0286493860845839,0.152250146113384,2.62214715430846,0.577262113409852
1400000US12001001517,12001001517,0.932956538686416,0.570345162858532,0.905235448961685,0.0155915026310661,0.226865380868888,2.65099403400659,0.584637642642198
1400000US12001001519,12001001519,0.967842525823426,0.904812834224599,0.991128010139417,0.00302085363476905,0.194623027469316,3.06142725129153,0.689576624732787
1400000US12001001520,12001001520,0.95926719937634,0.610014584346135,0.900848201228429,0.0247515104268174,0.320475355542568,2.81535685092029,0.62666169423959
1400000US12001001521,12001001521,0.867179886961606,0.4688381137579,0.916642293068149,0.0252387448840382,0.392070913695695,2.66996995236739,0.589489378498739
1400000US12001001603,12001001603,0.800136425648022,0.391054934370442,0.945500633713561,0.147534593646463,0.838008961620884,3.12223554899937,0.705124003929663
1400000US12001001604,12001001604,0.916390567140908,0.368692270296548,0.891781222579702,0.0597349444552719,0.256575102279369,2.4931741067518,0.544286467780466
1400000US12001001701,12001001701,0.608945624634574,0.496353913466213,0.916447304280004,0.171506528941727,0.32330021429963,2.51655358562215,0.550264099734069
1400000US12001001702,12001001702,0.0941336971350614,0.129217306757414,0.218192453933899,0.78347300721107,0.765439314241185,1.99045577927863,0.415752159781966
1400000US12001001801,12001001801,0.214967842525823,0.505396208070005,0.339670468948036,0.829857727538492,0.355932203389831,2.24582445047219,0.481044458953438
1400000US12001001802,12001001802,0.850126680958877,0.792902284880895,0.793311884566637,0.60884817774313,0.345899084356127,3.39108811250567,0.773863845537583
1400000US12001001803,12001001803,0.680861430520366,0.750413223140496,0.34610509895681,0.584389007990645,0.436684200272745,2.79845296088106,0.622339731641577
1400000US12001001805,12001001805,0.394367569674527,0.0411278561011181,0.173540021448767,0.969986357435198,0.361094876290668,1.94011668095028,0.402881530613889
1400000US12001001806,12001001806,0.572695381017346,0.190374331550802,0.599493029150824,0.461898265445332,0.37736216637444,2.20182317353874,0.469794274958521
1400000US12001001811,12001001811,0.164295458974859,0.206222654350997,0.250755581554061,0.148216721886572,0.259692187804403,1.02918260457089,0.169975199690584
1400000US12001001813,12001001813,0.307639836289222,0.535828877005348,0.099834259530077,0.911810563243032,0.167738164815897,2.02285170088358,0.424035103008634
1400000US12001001814,12001001814,0.389592671993763,0.305979581915411,0.228331870917422,0.681348664977587,0.198421975452951,1.80367476525714,0.367996255386792
1400000US12001001907,12001001907,0.547456636133307,0.918133203694701,0.599688017938969,0.692262716819334,0.514026884862654,3.27156745944896,0.743304974709481
1400000US12001001908,12001001908,0.501559150263107,0.854156538648517,0.364239056254265,0.838140713311245,0.437268653808689,2.99536411228582,0.672685695175897
1400000US12001002000,12001002000,0.574839212629117,0.777831793874575,0.526762211172858,0.754531280452154,0.443210598090785,3.07717509621949,0.693603011358588
1400000US12001002101,12001002101,0.611479243812122,0.268740884783666,0.358779370186214,0.76076788150458,0.507597895967271,2.50736527625385,0.54791484584419
1400000US12001002102,12001002102,0.133989475735724,0.60855614973262,0.577361801696403,0.674137595010719,0.467660237677771,2.46170525985324,0.536240557698078
1400000US12001002201,12001002201,0.270902358214773,0.309771511910549,0.262844886419031,0.687000584681349,0.165497759594779,1.69601710082048,0.340470496641029
1400000US12001002202,12001002202,0.156986942116547,0.113368983957219,0.153456176269865,0.938413564607289,0.217221897525813,1.57944756447673,0.310666163142864
1400000US12001002204,12001002204,0.0132527772364062,0.1770539620807,0.16408306522375,0.605242642759696,0.157802454704851,1.1174349020054,0.192539421761099
1400000US12001002205,12001002205,0.291073864743715,0.170442391832766,0.0702934581261577,0.639154160982265,0.119131112409897,1.2900949880948,0.236684907357398
1400000US12001002207,12001002207,0.144318846228805,0.259212445308702,0.13454226381983,0.991034885987137,0.372881355932203,1.90198979727668,0.393133303144727
1400000US12001002208,12001002208,0.00136425648021828,0.0385026737967914,0.0703909525202301,0.998245955954005,0.291057860900058,1.3995616996513,0.264673200701522
1400000US12001002209,12001002209,0.375073085168583,0.17773456490034,0.123525397289656,0.781329175599298,0.292518994739918,1.7501812176978,0.354319101119343
1400000US12001002210,12001002210,0.334632625219256,0.0936315021876519,0.217022521205031,0.851198596764763,0.465809468147282,1.96229471352398,0.408551978484683
