censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12005001502,12005001502,0.566068992,0.557024793,0.313584097,0.498344048,1.935021931,0.543813223
1400000US12005001600,12005001600,0.829760281,0.70140982,0.130968622,0.589616209,2.251754932,0.633326874
1400000US12005001700,12005001700,0.685636328,0.909090909,0.1677061,0.732222872,2.494656209,0.701974537
1400000US12005001800,12005001800,0.770317677,0.977053962,0.294776847,0.844535359,2.886683845,0.812767619
1400000US12005001900,12005001900,0.163710778,0.594166262,0.505067238,0.87073836,2.133682637,0.599957815
1400000US12005002000,12005002000,0.65328396,0.090228488,0.074449425,0.724430158,1.542392031,0.432849932
1400000US12005002200,12005002200,0.788053011,0.776470588,0.146267784,0.470095461,2.180886844,0.613298455
1400000US12005002300,12005002300,0.424186318,0.744287798,0.302670045,0.694233392,2.165377553,0.608915289
1400000US12005002400,12005002400,0.815922822,0.666601847,0.142272462,0.791057861,2.415854992,0.679704093
1400000US12005002500,12005002500,0.344864549,0.317744288,0.701325278,0.557081629,1.921015743,0.539854857
1400000US12005002601,12005002601,0.344474761,0.354010695,0.303936854,0.25228911,1.254711421,0.351546936
1400000US12005002603,12005002603,0.620639252,0.279436072,0.181251218,0.187804403,1.269130945,0.355622117
1400000US12005002604,12005002604,0.509452348,0.63889159,0.53196258,0.16004286,1.840349378,0.517057293
1400000US12005002605,12005002605,0.518417462,0.181623724,0.29906451,0.204850964,1.203956661,0.337202855
1400000US12005002606,12005002606,0.523289807,0.326008751,0.227635938,0.174849016,1.251783512,0.350719464
1400000US12005002607,12005002607,0.602221789,0.18580457,0.30218281,0.213520358,1.303729528,0.365400213
1400000US12005002608,12005002608,0.001364256,0.157608167,0.727830832,0.130820183,1.017623439,0.284542201
1400000US12005002701,12005002701,0.356850516,0.054739912,0.440947184,0.331872199,1.184409812,0.331678613
1400000US12005002702,12005002702,0.184564412,0.200486145,0.606801793,0.254626924,1.246479274,0.349220404
1400000US12005002703,12005002703,0.194211655,0.040155566,0.481972325,0.138515488,0.854855034,0.238541329
1400000US12005002704,12005002704,0.381699474,0.544676714,0.264958098,0.155075005,1.34640929,0.377462175
1400000US12005002705,12005002705,0.356265835,0.134370442,0.163418437,0.101402688,0.755457403,0.210450019
1400000US12007000100,12007000100,0.81631261,0.319688867,0.303644514,0.498733684,1.938379675,0.544762173
1400000US12007000200,12007000200,0.653478854,0.109674283,0.475151043,0.452561855,1.690866034,0.474810985
1400000US12007000300,12007000300,0.536737478,0.723772484,0.801013448,0.476329632,2.537853042,0.714182631
1400000US12007000400,12007000400,0.682225687,0.648031113,0.827811343,0.549094097,2.70716224,0.762032033
1400000US12009060101,12009060101,0.345351783,0.859795819,0.892223738,0.363140464,2.460511804,0.6923248
