censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12005001700,12005001700,0.685636328,0.909090909,0.634493517,0.1677061,0.732222872,3.129149726,0.685182416
1400000US12005001800,12005001800,0.770317677,0.977053962,0.882519255,0.294776847,0.844535359,3.7692031,0.833220674
1400000US12005001900,12005001900,0.163710778,0.594166262,0.251048065,0.505067238,0.87073836,2.384730702,0.513005376
1400000US12005002000,12005002000,0.65328396,0.090228488,0.633616067,0.074449425,0.724430158,2.176008098,0.464729823
1400000US12005002200,12005002200,0.788053011,0.776470588,0.660232037,0.146267784,0.470095461,2.841118881,0.618563621
1400000US12005002300,12005002300,0.424186318,0.744287798,0.757726431,0.302670045,0.694233392,2.923103984,0.637525996
1400000US12005002400,12005002400,0.815922822,0.666601847,0.854245881,0.142272462,0.791057861,3.270100873,0.717783076
1400000US12005002500,12005002500,0.344864549,0.317744288,0.310812128,0.701325278,0.557081629,2.231827871,0.477640406
1400000US12005002601,12005002601,0.344474761,0.354010695,0.60661012,0.303936854,0.25228911,1.86132154,0.391945816
1400000US12005002603,12005002603,0.620639252,0.279436072,0.378765721,0.181251218,0.187804403,1.647896665,0.342582672
1400000US12005002604,12005002604,0.509452348,0.63889159,0.82626499,0.53196258,0.16004286,2.666614368,0.578202387
1400000US12005002605,12005002605,0.518417462,0.181623724,0.524227357,0.29906451,0.204850964,1.728184017,0.361152373
1400000US12005002606,12005002606,0.523289807,0.326008751,0.466705664,0.227635938,0.174849016,1.718489177,0.358910049
1400000US12005002607,12005002607,0.602221789,0.18580457,0.754119138,0.30218281,0.213520358,2.057848666,0.437400671
1400000US12005002608,12005002608,0.001364256,0.157608167,0.269864483,0.727830832,0.130820183,1.287487922,0.259223558
1400000US12005002701,12005002701,0.356850516,0.054739912,0.375353417,0.440947184,0.331872199,1.559763229,0.322198247
1400000US12005002702,12005002702,0.184564412,0.200486145,0.305839914,0.606801793,0.254626924,1.552319188,0.320476511
1400000US12005002703,12005002703,0.194211655,0.040155566,0.421370771,0.481972325,0.138515488,1.276225805,0.256618737
1400000US12005002704,12005002704,0.381699474,0.544676714,0.400214488,0.264958098,0.155075005,1.746623778,0.365417314
1400000US12005002705,12005002705,0.356265835,0.134370442,0.483279711,0.163418437,0.101402688,1.238737114,0.24794796
1400000US12007000100,12007000100,0.81631261,0.319688867,0.326313737,0.303644514,0.498733684,2.264693412,0.485241893
1400000US12007000200,12007000200,0.653478854,0.109674283,0.561275227,0.475151043,0.452561855,2.252141261,0.4823387
1400000US12007000300,12007000300,0.536737478,0.723772484,0.291898216,0.801013448,0.476329632,2.829751258,0.615934398
1400000US12007000400,12007000400,0.682225687,0.648031113,0.70400702,0.827811343,0.549094097,3.41116926,0.750410852
1400000US12009060101,12009060101,0.345351783,0.859795819,0.368333821,0.892223738,0.363140464,2.828845625,0.615724934
1400000US12009060102,12009060102,0.322646658,0.767914439,0.407624062,0.980413175,0.424800312,2.903398644,0.632968338
1400000US12009060200,12009060200,0.420580783,0.537773456,0.302135127,0.835704541,0.402493668,2.498687577,0.539362518
1400000US12009060300,12009060300,0.479243812,0.697520661,0.656234767,0.79058663,0.541009156,3.164595027,0.693380577
1400000US12009060400,12009060400,0.66205418,0.491784152,0.608852491,0.556129409,0.687901812,3.006722044,0.656866058
1400000US12009060500,12009060500,0.551062171,0.612056393,0.47216535,0.821184954,0.654880187,3.111349056,0.681065291
1400000US12009060600,12009060600,0.690995907,0.7724842,0.573462026,0.465114013,0.627897915,3.129954062,0.685368452
1400000US12009060700,12009060700,0.911323329,0.771998055,0.899580774,0.042097057,0.649912332,3.274911547,0.718895739
1400000US12009061001,12009061001,0.257552134,0.484491979,0.363751584,0.477294874,0.354568478,1.93765905,0.409601956
1400000US12009061002,12009061002,0.716039758,0.916869227,0.704884469,0.594523485,0.921780635,3.854097574,0.852855958
